subject,lap,start_time,straight,roundabout_entry,roundabout_exit,zebra_crossing,left_turn,u_turn,bypass_dummy,car,pedestrian,traffic_light,narrow_road,dummy,bend,habituation,traffic,hurry,frustration,surprise,risk_outcome,risk_source_env,risk_source_other_usr,risk_source_driver,risk_source_crash,risk_evaluation,violation_no,violation_roadside_invasion,violation_give_the_way,violation_road_signs,violation_heavy_braking,violation_roadside_exit,violation_slowdown,emotion_na,emotion_neutral,emotion_surprise,emotion_anger,emotion_boredom,emotion_fear,emotion_fun,gaze_na,gaze_complete_expl,gaze_partial_expl,gaze_poor_expl,distraction_na,distraction_no,distraction_reduced_attention,distraction_speaking,max_speed,avg_speed,std_speed,yaw,yaw_rate,roll,roll_rate,pitch,pitch_rate,lat_acce,long_acce,vert_acce,avg_acce_pedal_pos,std_acce_pedal_pos,avg_steer_angle,std_steer_angle,hr,hrv_lf,hrv_hf,hrv_lfhf_ratio,gsr_tonic,gsr_phasic,gsr_peaks,EBRmean,BDmean,ThetaFrontal,ThetaParietal,AlphaFrontal,AlphaParietal,LowerAlphaFrontal,LowerAlphaParietal,UpperAlphaFrontal,UpperAlphaParietal,BetaFrontal,BetaParietal,LowerBetaFrontal,LowerBetaParietal,UpperBetaFrontal,UpperBetaParietal
0AC2A4,1,108,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,20.47,7.5002,7.09437,-0.14093,-0.00209,0.00955,2.4555,0.00066,0.26419,-0.77311,0.28886,-0.03612,6.48886,24.36267,-110.88869,184.57338,85.58834677227723,0.03575444554455445,0.03776777227722772,1.900568089108911,0.26050207394048697,0.01836130748422002,0.00034128043282236254,10.645592238658775,0.3932532872655479,0.1838237625570776,0.18031067579908677,0.11530517808219178,0.12186832876712328,0.13269023744292238,0.13317554337899545,0.09833721461187214,0.11156234703196345,0.046918456621004564,0.04652646575342466,0.06259645662100456,0.06869888584474886,0.037426694063926944,0.032896018264840184
0AC2A4,2,9,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,18.26,12.9323,5.63553,0.0001,-0.00058,0.01433,2.12324,0.00071,1.48138,-0.80076,0.27657,-0.02267,36.09462,33.20495,0.19424,3.23873,85.58834677227723,0.03575444554455445,0.03776777227722772,1.900568089108911,0.29114,0.0007,0.0,10.645592238658775,0.3932532872655479,0.10926,0.07391,0.08043,0.0794,0.0943,0.07428,0.06755,0.08717,0.02149,0.02504,0.03401,0.04049,0.01359,0.01505
0AC2A4,2,24,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,12.67,7.7496,3.27111,-0.03521,-0.03201,0.04127,1.95056,-0.00211,0.00845,1.61676,-0.78648,-0.01662,2.02254,5.50763,65.91211,349.10175,85.58834677227723,0.03575444554455445,0.03776777227722772,1.900568089108911,0.29065,0.00127,0.0,10.645592238658775,0.3932532872655479,0.12218,0.08181,0.11196,0.08298,0.14685,0.09457,0.08139,0.08146,0.01716,0.01714,0.02249,0.02746,0.01381,0.01054
0AC2A4,2,29,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,5.21,4.66103,0.33394,-0.40452,0.05809,0.00393,2.17131,0.00048,0.0031,1.11524,-0.62869,-0.00738,11.27679,13.70451,-607.52821,629.26809,64.84141,0.04433,0.017,2.84933,0.29025,0.0014,1e-05,11.33333,0.33234,0.09193,0.06653,0.10037,0.09009,0.10517,0.08606,0.10596,0.10678,0.02001,0.02384,0.03096,0.03681,0.01311,0.01558
0AC2A4,2,35,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,11.87,7.74141,2.41402,0.02295,0.00838,0.03443,1.55055,-0.01716,0.91186,0.0182,-0.34388,-0.00404,24.49951,33.58755,25.65798,220.87884,69.38268,0.054,0.016,3.428,0.28976,0.00129,1e-05,4.0,0.40327,0.13675,0.10767,0.12156,0.11099,0.16334,0.11852,0.07865,0.10951,0.02177,0.02506,0.03348,0.03822,0.01485,0.01703
0AC2A4,2,48,1,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,16.91,8.99075,6.0174,-0.11249,-0.00908,0.02387,1.98477,0.0087,0.86268,-0.1918,0.58952,0.01255,26.75358,36.15568,-361.5474,657.96595,72.33427,0.043,0.02215,2.01408,0.28801,0.00246,4e-05,6.42857,0.36541,0.12756,0.08371,0.11058,0.0887,0.13484,0.09741,0.08532,0.08306,0.02317,0.02309,0.03353,0.03644,0.01673,0.01474
0AC2A4,2,75,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,7.92,6.71375,0.5711,-0.16029,-0.02465,-0.00157,3.14,-0.00229,0.451,-0.96071,-0.94443,-0.00357,13.96157,17.73526,-192.47157,141.39925,72.15874,0.05233,0.02467,2.134,0.28207,0.00628,0.00011,10.66667,0.31962,0.1304,0.07343,0.08805,0.07596,0.10133,0.0738,0.07599,0.08191,0.02668,0.02246,0.04112,0.03693,0.01766,0.01353
0AC2A4,2,80,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,10.5,8.92686,1.10069,0.10697,0.07848,0.00667,1.59596,0.00071,0.51131,0.87172,0.57495,-0.00505,9.85444,16.64961,115.09818,207.03636,72.49111,0.04633,0.03267,1.45433,0.27864,0.00844,8e-05,12.0,0.31462,0.11405,0.07908,0.08699,0.06701,0.10744,0.07067,0.06835,0.0638,0.02206,0.01765,0.03525,0.02903,0.01416,0.01068
0AC2A4,2,87,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,6.97,6.26733,0.44912,0.51048,0.0753,0.00262,0.03333,0.0,0.01,2.41595,-2.17333,-0.02238,0.0,0.0,627.89643,153.15187,72.92128,0.036,0.0195,1.9615,0.27608,0.0109,0.0001,10.0,0.30117,0.10964,0.07231,0.08813,0.0727,0.10456,0.06517,0.06645,0.07354,0.02225,0.02087,0.03411,0.03455,0.01458,0.01196
0AC2A4,2,90,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,12.19,7.54288,2.5214,0.0813,-0.08631,0.01,1.36692,-0.00071,1.1929,0.43462,-0.47947,0.00148,34.2226,37.96223,84.9429,266.04084,73.96207,0.05883,0.01267,5.198,0.26926,0.01764,0.00024,8.85714,0.30745,0.23099,0.11378,0.16483,0.13535,0.22365,0.16175,0.08845,0.10395,0.02155,0.02111,0.0336,0.03387,0.01405,0.01315
